Date,Open,High,Low,Close,Volume
1/4/2010 16:00:00,1116.56,1133.87,1116.56,1132.99,0
1/5/2010 16:00:00,1132.66,1136.63,1129.66,1136.52,0
1/6/2010 16:00:00,1135.71,1139.19,1133.95,1135.71,0
1/7/2010 16:00:00,1136.27,1142.46,1131.32,1141.69,0
1/8/2010 16:00:00,1140.52,1145.39,1136.22,1144.98,0
1/11/2010 16:00:00,1145.96,1149.74,1117.28,1146.98,0
1/12/2010 16:00:00,1143.81,1143.81,1131.77,1136.22,0
1/13/2010 16:00:00,1137.31,1148.4,1133.18,1145.68,0
1/14/2010 16:00:00,1144.87,1150.41,1143.8,1144.89,0
1/15/2010 16:00:00,1147.72,1147.77,1131.39,1136.03,0
1/19/2010 16:00:00,1136.03,1150.45,1135.77,1150.23,0
1/20/2010 16:00:00,1147.95,1147.95,1129.25,1138.04,0
1/21/2010 16:00:00,1138.68,1141.58,1114.84,1116.48,0
1/22/2010 16:00:00,1115.49,1115.49,1090.18,1115.49,0
1/25/2010 16:00:00,1092.4,1102.97,1092.4,1096.78,0
1/26/2010 16:00:00,1095.8,1103.69,1089.86,1092.17,0
1/27/2010 16:00:00,1091.94,1099.51,1083.11,1097.5,0
1/28/2010 16:00:00,1096.93,1100.22,1078.46,1084.53,0
1/29/2010 16:00:00,1087.61,1096.45,1071.59,1073.87,0
2/1/2010 16:00:00,1073.89,1089.38,1073.89,1089.19,0
2/2/2010 16:00:00,1090.05,1104.73,1087.96,1103.32,0
2/3/2010 16:00:00,1100.67,1102.72,1093.97,1097.28,0
2/4/2010 16:00:00,1097.25,1097.25,1062.78,1063.11,0
2/5/2010 16:00:00,1064.12,1067.13,1044.5,1066.19,0
2/8/2010 16:00:00,1065.51,1071.2,1056.51,1056.74,0
2/9/2010 16:00:00,1060.06,1079.28,1060.06,1070.52,0
2/10/2010 16:00:00,1069.68,1073.67,1059.34,1068.13,0
2/11/2010 16:00:00,1067.1,1080.04,1060.59,1078.47,0
2/12/2010 16:00:00,1075.95,1077.81,1062.97,1075.51,0
2/16/2010 16:00:00,1081.21,1095.67,1081.21,1094.87,0
2/17/2010 16:00:00,1096.14,1101.03,1094.78,1099.51,0
2/18/2010 16:00:00,1099.03,1108.24,1097.48,1106.75,0
2/19/2010 16:00:00,1105.49,1112.42,1100.8,1109.17,0
2/22/2010 16:00:00,1110,1112.29,1105.38,1108.01,0
2/23/2010 16:00:00,1107.49,1108.58,1092.18,1094.6,0
2/24/2010 16:00:00,1095.89,1106.42,1095.5,1105.24,0
2/25/2010 16:00:00,1101.24,1103.5,1086.02,1102.94,0
2/26/2010 16:00:00,1103.1,1107.24,1097.56,1104.49,0
3/1/2010 16:00:00,1105.36,1116.11,1105.36,1115.71,0
3/2/2010 16:00:00,1117.77,1123.46,1116.51,1118.31,0
3/3/2010 16:00:00,1119.36,1125.64,1116.58,1118.79,0
3/4/2010 16:00:00,1119.12,1123.73,1116.66,1122.97,0
3/5/2010 16:00:00,1125.12,1139.38,1125.12,1138.7,0
3/8/2010 16:00:00,1138.4,1141.05,1136.77,1138.5,0
3/9/2010 16:00:00,1137.56,1145.37,1134.9,1140.45,0
3/10/2010 16:00:00,1140.22,1148.26,1140.09,1145.61,0
3/11/2010 16:00:00,1143.96,1150.24,1138.99,1150.24,0
3/12/2010 16:00:00,1151.71,1153.41,1146.97,1149.99,0
3/15/2010 16:00:00,1148.53,1150.98,1141.45,1150.51,0
3/16/2010 16:00:00,1150.83,1160.28,1150.35,1159.46,0
3/17/2010 16:00:00,1159.94,1169.84,1159.94,1160.74,0
3/18/2010 16:00:00,1166.13,1167.77,1161.16,1165.83,0
3/19/2010 16:00:00,1166.68,1169.2,1155.33,1159.9,0
3/22/2010 16:00:00,1157.25,1167.82,1152.88,1165.81,0
